Verbose: 1
Config File: ../frontend_servers/server_config.txt
SERVER: 127.0.0.1 8000 0
SERVER: 127.0.0.1 8001 0
SERVER: 127.0.0.1 8002 0

+++++++ Waiting for new connection ++++++++

Server 127.0.0.1:8000 is down.
Server 127.0.0.1:8001 is down.
Server 127.0.0.1:8002 is down.
Server 127.0.0.1:8000 is down.
Server 127.0.0.1:8001 is down.
Server 127.0.0.1:8002 is down.
Server 127.0.0.1:8000 is down.
Server 127.0.0.1:8001 is down.
Server 127.0.0.1:8002 is down.
<<<<<<< HEAD
=======
Server 127.0.0.1:8000 is active.
Server 127.0.0.1:8001 is active.
Server 127.0.0.1:8002 is active.
Server 127.0.0.1:8000 is active.
Server 127.0.0.1:8001 is active.
Server 127.0.0.1:8002 is active.
Server 127.0.0.1:8000 is active.
Server 127.0.0.1:8001 is active.
Server 127.0.0.1:8002 is active.
Server 127.0.0.1:8000 is active.
Server 127.0.0.1:8001 is active.
Server 127.0.0.1:8002 is active.
Server 127.0.0.1:8000 is active.
Server 127.0.0.1:8001 is active.
Server 127.0.0.1:8002 is active.
Server 127.0.0.1:8000 is active.
Server 127.0.0.1:8001 is active.
Server 127.0.0.1:8002 is active.
Server 127.0.0.1:8000 is active.
Server 127.0.0.1:8001 is active.
Server 127.0.0.1:8002 is active.
Server 127.0.0.1:8000 is active.
Server 127.0.0.1:8001 is active.
Server 127.0.0.1:8002 is active.
Server 127.0.0.1:8000 is active.
Server 127.0.0.1:8001 is active.
Server 127.0.0.1:8002 is active.
Server 127.0.0.1:8000 is active.
Server 127.0.0.1:8001 is active.
Server 127.0.0.1:8002 is active.
Server 127.0.0.1:8000 is active.
Server 127.0.0.1:8001 is active.
Server 127.0.0.1:8002 is active.
Server 127.0.0.1:8000 is active.
Server 127.0.0.1:8001 is active.
Server 127.0.0.1:8002 is active.
Server 127.0.0.1:8000 is active.
Server 127.0.0.1:8001 is active.
Server 127.0.0.1:8002 is active.
Server 127.0.0.1:8000 is active.
Server 127.0.0.1:8001 is active.
Server 127.0.0.1:8002 is active.
Server 127.0.0.1:8000 is active.
Server 127.0.0.1:8001 is active.
Server 127.0.0.1:8002 is active.
Server 127.0.0.1:8000 is active.
Server 127.0.0.1:8001 is active.
Server 127.0.0.1:8002 is active.
Server 127.0.0.1:8000 is active.
Server 127.0.0.1:8001 is active.
Server 127.0.0.1:8002 is active.
Server 127.0.0.1:8000 is active.
Server 127.0.0.1:8001 is active.
Server 127.0.0.1:8002 is active.
Server 127.0.0.1:8000 is active.
Server 127.0.0.1:8001 is active.
Server 127.0.0.1:8002 is active.
Server 127.0.0.1:8000 is active.
Server 127.0.0.1:8001 is active.
Server 127.0.0.1:8002 is active.
Server 127.0.0.1:8000 is active.
Server 127.0.0.1:8001 is active.
Server 127.0.0.1:8002 is active.
Server 127.0.0.1:8000 is active.
Server 127.0.0.1:8001 is active.
Server 127.0.0.1:8002 is active.
Server 127.0.0.1:8000 is active.
Server 127.0.0.1:8001 is active.
Server 127.0.0.1:8002 is active.
Server 127.0.0.1:8000 is active.
Server 127.0.0.1:8001 is active.
Server 127.0.0.1:8002 is active.
Server 127.0.0.1:8000 is active.
Server 127.0.0.1:8001 is active.
Server 127.0.0.1:8002 is active.
Server 127.0.0.1:8000 is active.
Server 127.0.0.1:8001 is active.
Server 127.0.0.1:8002 is active.
Server 127.0.0.1:8000 is active.
Server 127.0.0.1:8001 is active.
